"year","Mortality.x","Mortality.y","Mortality.x.x","Mortality.y.y","ISO"
2018,3.7,3.2,2.3,NA,"AUS"
2019,3.7,3.2,2.4,NA,"AUS"
2000,5.5,4.6,3.1,6,"AUT"
2001,5.4,4.5,3.1,6,"AUT"
2002,5.3,4.4,3.1,6,"AUT"
2003,5.2,4.3,3,6,"AUT"
2004,5.1,4.2,2.9,5,"AUT"
2005,4.9,4.1,2.8,6,"AUT"
2006,4.7,3.9,2.8,5,"AUT"
2007,4.6,3.8,2.7,5,"AUT"
2008,4.5,3.8,2.6,5,"AUT"
2009,4.5,3.7,2.6,5,"AUT"
2010,4.3,3.6,2.5,5,"AUT"
2011,4.2,3.5,2.4,5,"AUT"
2012,4,3.3,2.4,5,"AUT"
2013,3.9,3.2,2.3,5,"AUT"
2014,3.8,3.1,2.3,5,"AUT"
2015,3.7,3,2.2,5,"AUT"
2016,3.6,3,2.2,5,"AUT"
2017,3.6,2.9,2.2,5,"AUT"
2018,3.6,2.9,2.2,NA,"AUT"
2019,3.6,2.9,2.3,NA,"AUT"
2000,74.4,60.9,34.3,47,"AZE"
2001,69.3,57.2,32.8,44,"AZE"
2002,64.3,53.5,31.3,43,"AZE"
2003,59.7,50.1,29.8,44,"AZE"
2004,55.6,47,28.3,39,"AZE"
2005,51.9,44.1,26.8,42,"AZE"
2006,48.6,41.5,25.5,35,"AZE"
2007,45.5,39.1,24.1,34,"AZE"
2008,42.7,36.8,22.8,32,"AZE"
2009,39.9,34.7,21.6,32,"AZE"
2010,37.3,32.5,20.3,31,"AZE"
2011,34.9,30.5,18.8,30,"AZE"
2012,32.5,28.5,17.3,29,"AZE"
2013,30.3,26.7,16,28,"AZE"
2014,28.2,24.9,14.7,28,"AZE"
2015,26.3,23.3,13.5,27,"AZE"
2016,24.5,21.8,12.5,26,"AZE"
2017,22.8,20.3,11.7,26,"AZE"
2018,21.5,19.2,10.9,NA,"AZE"
2019,20.4,18.2,10.4,NA,"AZE"
2000,154.5,94.7,36.6,1010,"BDI"
2001,149.4,91.9,36,956,"BDI"
2002,143.8,88.9,35.4,925,"BDI"
2003,138.1,85.7,34.8,890,"BDI"
2004,131.9,82.3,34.1,844,"BDI"
2005,124.9,78.4,33.2,814,"BDI"
2006,117.6,74.4,32.3,785,"BDI"
2007,110.5,70.4,31.3,756,"BDI"
2008,103.6,66.5,30.2,733,"BDI"
